150317 140429.403|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to /home/caleb/pc2-9.2.4/bin/logs directory.
150317 140429.403|INFO|AWT-EventQueue-0|info|
150317 140429.404|INFO|AWT-EventQueue-0|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_31 build 2837 Linux 3.18.9-200.fc21.x86_64 (amd64) 
150317 140429.404|INFO|AWT-EventQueue-0|info|Login: scoreboard1 (aka scoreboard1)
150317 140429.404|INFO|AWT-EventQueue-0|startLog|Working directory is /home/caleb/pc2-9.2.4/bin
150317 140429.405|INFO|AWT-EventQueue-0|startLog|Process id is 2482@localhost.localdomain
150317 140429.405|INFO|AWT-EventQueue-0|info|Contacting server at 10.64.29.105:50002 as SCOREBOARD1 @ site 0
150317 140429.405|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from SCOREBOARD1 @ site 0
150317 140429.415|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 SCOREBOARD1 @ site 0 -> SERVER0 @ site 0
150317 140429.416|INFO|Thread-2|run|send(Serializable)
150317 140429.418|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 SCOREBOARD1 @ site 0 -> SERVER0 @ site 0
150317 140429.419|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
150317 140429.698|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
150317 140429.823|INFO|Thread-3|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #14 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
150317 140429.823|INFO|Thread-3|dumpPacket|Packet LOGIN_SUCCESS (Seq #14 ) recieveObject
150317 140429.824|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1 (002L3007-484713 @ 10.64.29.105) (Contest Id: Default-329526034983470947)
150317 140429.824|INFO|Thread-3|dumpPacket|    To: SCOREBOARD1 @ site 1
150317 140429.824|INFO|Thread-3|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@209f6a31
150317 140429.824|INFO|Thread-3|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
150317 140429.825|INFO|Thread-3|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1426619069917,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2015,MONTH=2,WEEK_OF_YEAR=12,WEEK_OF_MONTH=3,DAY_OF_MONTH=17,DAY_OF_YEAR=76,DAY_OF_WEEK=3,DAY_OF_WEEK_IN_MONTH=3,AM_PM=1,HOUR=7,HOUR_OF_DAY=19,MINUTE=4,SECOND=29,MILLISECOND=917,ZONE_OFFSET=0,DST_OFFSET=0]
150317 140429.825|INFO|Thread-3|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@2e589052
150317 140429.825|INFO|Thread-3|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@2a670141
