150317 140429.854|CONFIG|Thread-3|setFileHandlers|Now logging to /home/caleb/pc2-9.2.4/bin/logs directory.
150317 140429.854|INFO|Thread-3|info|
150317 140429.854|INFO|Thread-3|info|Version 9.2.4 20140920 (Saturday, September 20th 2014 00:52 UTC) Java ver 1.8.0_31 build 2837 Linux 3.18.9-200.fc21.x86_64 (amd64) 
150317 140429.854|INFO|Thread-3|info|Login: scoreboard1 (aka scoreboard1)
150317 140429.854|INFO|Thread-3|startLog|Working directory is /home/caleb/pc2-9.2.4/bin
150317 140429.854|INFO|Thread-3|startLog|Process id is 2482@localhost.localdomain
150317 140429.856|INFO|Thread-3|info|Attempting to load UI class edu.csus.ecs.pc2.ui.board.ScoreboardView
150317 140429.892|INFO|Thread-3|info|Loaded UI class edu.csus.ecs.pc2.ui.board.ScoreboardView
150317 140429.893|INFO|Thread-3|setContestAndController|Using XSL from directory /home/caleb/pc2-9.2.4/data/xsl
150317 140430.054|INFO|Thread-3|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
150317 140430.056|INFO|Thread-3|info|handlePacket end Packet[LOGIN_SUCCESS] #14 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
150317 140430.057|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #14 SERVER0 @ site 1 -> SCOREBOARD1 @ site 1
150317 140430.447|FINE|AWT-EventQueue-0|generateOutput|Sending output to /home/caleb/pc2-9.2.4/bin/html
150317 140430.882|DEBUG|AWT-EventQueue-0|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/fullnums.html succeeded.
150317 140430.946|DEBUG|AWT-EventQueue-0|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/summary.html succeeded.
150317 140430.969|DEBUG|AWT-EventQueue-0|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/full.html succeeded.
150317 140431.033|DEBUG|AWT-EventQueue-0|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/sumatt.html succeeded.
150317 140431.080|DEBUG|AWT-EventQueue-0|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/pc2export.dat succeeded.
150317 140431.131|DEBUG|AWT-EventQueue-0|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/sumtime.html succeeded.
150317 140431.162|FINE|AWT-EventQueue-0|addTestRow|addTestRow no balloonSettings for site 1
150317 140431.164|FINE|AWT-EventQueue-0|addTestRow|addTestRow no balloonSettings for site 1
150317 140500.759|FINE|Thread-4|generateOutput|Sending output to /home/caleb/pc2-9.2.4/bin/html
150317 140500.781|DEBUG|Thread-4|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/fullnums.html succeeded.
150317 140500.814|DEBUG|Thread-4|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/summary.html succeeded.
150317 140500.828|DEBUG|Thread-4|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/full.html succeeded.
150317 140500.852|DEBUG|Thread-4|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/sumatt.html succeeded.
150317 140500.865|DEBUG|Thread-4|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/pc2export.dat succeeded.
150317 140500.889|DEBUG|Thread-4|generateOutput|rename to /home/caleb/pc2-9.2.4/bin/html/sumtime.html succeeded.
150317 140521.384|INFO|Thread-5|info| receiveObject(S) start got Packet[CLOCK_STOPPED] #16 SERVER0 @ site 1 -> SERVER0 @ site 0
